Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_5,SMA_20,SMA_50,Returns,Log_Returns,Volatility_20
2020-09-28 00:00:00-04:00,285.3899303047521,286.8752497407535,284.47085561520987,286.2625427246094,2437900,0.0,0.0,0.0,,,,,,
2020-09-29 00:00:00-04:00,286.06590228620763,286.69055356386457,284.0241703350705,284.6301574707031,2303900,1.309,0.0,0.0,,,,-0.005702406044358566,-0.005718726836468892,
2020-09-30 00:00:00-04:00,285.3201521176976,289.7112625637643,285.1430134300387,286.8211364746094,4304500,0.0,0.0,0.0,,,,0.007697634795187813,0.0076681591695685995,
2020-10-01 00:00:00-04:00,289.161213633264,290.0468786287768,286.92370673480565,288.6391296386719,3005700,0.0,0.0,0.0,,,,0.006338421172190856,0.006318417862484047,
2020-10-02 00:00:00-04:00,284.08944715626075,287.6880987057612,283.6139667421748,285.95404052734375,3125100,0.0,0.0,0.0,286.4614013671875,,,-0.009302581790242348,-0.009346121032835,
2020-10-05 00:00:00-04:00,287.79067034199295,291.1469441492818,287.79067034199295,290.9511413574219,2364500,0.0,0.0,0.0,287.39912109375,,,0.01747518874313747,0.017324253509676552,
2020-10-06 00:00:00-04:00,291.10965561212726,293.03951668264096,286.38290433557233,286.8863525390625,3389800,0.0,0.0,0.0,287.85036010742186,,,-0.013970692121691775,-0.014069200806740016,
2020-10-07 00:00:00-04:00,289.58063534397286,292.5639958659205,289.5713317248816,291.808837890625,1707800,0.0,0.0,0.0,288.847900390625,,,0.017158311324315223,0.017012769970873375,
2020-10-08 00:00:00-04:00,293.63613839311296,294.46589604986525,292.78774504629166,294.39129638671875,1731700,0.0,0.0,0.0,289.9983337402344,,,0.008849829617092242,0.0088108993902889,
2020-10-09 00:00:00-04:00,295.97621176242444,297.495859818978,295.3981924050339,297.01104736328125,2794100,0.0,0.0,0.0,292.20973510742186,,,0.00889887373953191,0.008859512106399424,
2020-10-12 00:00:00-04:00,299.39778752513286,303.20154569026164,298.9502748492313,301.8031005859375,2194300,0.0,0.0,0.0,294.380126953125,,,0.01613425919741962,0.016005485305274708,
2020-10-13 00:00:00-04:00,301.72851977353616,301.8124230629557,298.9968688001706,299.87322998046875,2229700,0.0,0.0,0.0,296.9775024414063,,,-0.00639446911486985,-0.0064150013076164315,
2020-10-14 00:00:00-04:00,300.40458003483405,301.4114477384391,297.3373165766252,297.999267578125,1902100,0.0,0.0,0.0,298.21558837890626,,,-0.00624918203757574,-0.006268789907092126,
2020-10-15 00:00:00-04:00,294.3353495536204,298.0552323084854,293.8878653976793,297.64501953125,2481700,0.0,0.0,0.0,298.8663330078125,,,-0.0011887547568624202,-0.0011894618862562391,
2020-10-16 00:00:00-04:00,298.9408957822947,300.3952761860404,297.3093767504001,297.3932800292969,1669600,0.0,0.0,0.0,298.9427795410156,,,-0.0008457709198346208,-0.0008461287858550501,
2020-10-19 00:00:00-04:00,298.61467513405773,299.1647553228839,292.11656483269377,292.89971923828125,2229600,0.0,0.0,0.0,297.1621032714844,,,-0.01510982625623869,-0.01522514276379263,
2020-10-20 00:00:00-04:00,294.1209316506341,297.0949599800386,293.4683126721601,294.0556640625,3066600,0.0,0.0,0.0,295.99859008789065,,,0.003946554906999911,0.003938787688312791,
2020-10-21 00:00:00-04:00,294.0557079438384,296.02284034008767,293.2912178152989,293.5242919921875,2607700,0.0,0.0,0.0,295.1035949707031,,,-0.0018070458598599126,-0.001808680536817386,
2020-10-22 00:00:00-04:00,293.7293386321307,295.6871670098649,291.79947801187416,295.1371154785156,2362400,0.0,0.0,0.0,294.6020141601563,,,0.0054946848704811035,0.005479644160388698,
2020-10-23 00:00:00-04:00,296.3212121548361,296.3212121548361,293.8972347791735,296.1440734863281,1429300,0.0,0.0,0.0,294.3521728515625,292.99152221679685,,0.0034118311625424003,0.0034060240713959526,
2020-10-26 00:00:00-04:00,293.0301370065871,293.7479951336668,287.4829609518636,290.6900634765625,3335800,0.0,0.0,0.0,293.9102416992188,293.21289825439453,,-0.018416745422451974,-0.0185884450447735,0.010583072308780308
