Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Capital Gains,SMA_5,SMA_20,SMA_50,Returns,Log_Returns,Volatility_20
2020-09-28 00:00:00-04:00,158.66445922851562,158.9538032687946,157.63774078671057,158.03909953838914,3291300,0.0,0.0,0.0,,,,,,
2020-09-29 00:00:00-04:00,157.77772521972656,158.88844389973258,157.45105247054337,158.52442816984754,2120600,0.0,0.0,0.0,,,,-0.005588737472151495,-0.00560441289658747,
2020-09-30 00:00:00-04:00,158.96311950683594,160.51252567385143,157.9737441266518,158.2164165384523,4786400,0.0,0.0,0.0,,,,0.007513064885797727,0.007484982383205378,
2020-10-01 00:00:00-04:00,160.2884979248047,160.77385695246974,159.2431223964554,160.27916930122063,3234100,0.0,0.0,0.0,,,,0.008337647261078995,0.008303081080993542,
2020-10-02 00:00:00-04:00,159.03778076171875,159.89648413408813,157.02168715241314,157.41370298052695,2325600,0.0,0.0,0.0,158.94631652832032,,,-0.00780291274345013,-0.007833514760951005,
2020-10-05 00:00:00-04:00,161.9032440185547,161.96857286676186,159.91515058516998,160.17649446234498,2574200,0.0,0.0,0.0,159.5940734863281,,,0.018017500263847186,0.017857108809496904,
2020-10-06 00:00:00-04:00,159.9058380126953,163.32198024786405,159.61647975190294,162.15526130687314,2803300,0.0,0.0,0.0,160.0196960449219,,,-0.012337035109873828,-0.012413768085602506,
2020-10-07 00:00:00-04:00,162.69659423828125,163.088610029864,161.41787504367764,161.4645466421887,1952400,0.0,0.0,0.0,160.76639099121093,,,0.01745249742141608,0.01730195166388949,
2020-10-08 00:00:00-04:00,164.1246795654297,164.1713511703999,163.22864741556836,163.83533555365835,2335200,0.0,0.0,0.0,161.53362731933595,,,0.0087775981656808,0.008739299004164414,
2020-10-09 00:00:00-04:00,165.50607299804688,165.7954169888128,164.68469838515787,165.11404293849662,2489200,0.0,0.0,0.0,162.82728576660156,,,0.008416731939857147,0.008381508756306213,
2020-10-12 00:00:00-04:00,167.96087646484375,168.6049076778857,166.523484820079,166.74748576918836,2895800,0.0,0.0,0.0,164.03881225585937,,,0.014832105084300107,0.01472318510134491,
2020-10-13 00:00:00-04:00,167.0740966796875,167.8394708861935,166.54206618362798,167.6994561146237,2448900,0.0,0.0,0.0,165.47246398925782,,,-0.005279680624564187,-0.005293667390472145,
2020-10-14 00:00:00-04:00,165.96343994140625,167.93286215827015,165.66476728710194,167.2608308833666,2155600,0.0,0.0,0.0,166.1258331298828,,,-0.006647689620076669,-0.006669883923964723,
2020-10-15 00:00:00-04:00,166.01942443847656,166.20611085216945,163.48998589371897,163.9100018401804,2865300,0.0,0.0,0.0,166.5047821044922,,,0.00033733030051719126,0.0003372734174432645,
2020-10-16 00:00:00-04:00,165.7207489013672,167.36348392092177,165.7207489013672,166.58878089266108,1910200,0.0,0.0,0.0,166.54771728515624,,,-0.001799039709477257,-0.0018006599249282922,
2020-10-19 00:00:00-04:00,163.34996032714844,167.30747561675773,162.98594463189514,166.4301008020003,2713800,0.0,0.0,0.0,165.6255340576172,,,-0.014305924815906979,-0.014409241098725302,
2020-10-20 00:00:00-04:00,163.91932678222656,165.5434045465296,163.56465393695862,164.18067066491807,2622900,0.0,0.0,0.0,164.994580078125,,,0.003485562248915386,0.003479501755554808,
2020-10-21 00:00:00-04:00,163.35931396484375,164.9460487861665,163.35931396484375,163.9566734590655,3237200,0.0,0.0,0.0,164.4737548828125,,,-0.0034163928584627357,-0.0034222420544450546,
2020-10-22 00:00:00-04:00,164.51669311523438,164.79670849897343,162.51927093308444,163.64866109203479,3762200,0.0,0.0,0.0,164.17320861816407,,,0.0070848678431625345,0.007059888083120122,
2020-10-23 00:00:00-04:00,165.05801391601562,165.16068572471374,163.76996623855018,165.0300138083862,2412700,0.0,0.0,0.0,164.04066162109376,163.09049530029296,,0.0032903700562598726,0.003284968633915409,
2020-10-26 00:00:00-04:00,162.06192016601562,163.7979983895173,160.16716988751648,163.37796820856525,3873600,0.0,0.0,0.0,163.78305358886718,163.26036834716797,,-0.018151761789188092,-0.018318526144271017,0.010354534731991247
2020-10-27 00:00:00-04:00,161.40853881835938,162.42592843593133,161.3058812364533,162.24858489959752,2525200,0.0,0.0,0.0,163.28089599609376,163.4419090270996,,-0.004031677194660688,-0.0040398263156197906,0.010307257107805662
2020-10-28 00:00:00-04:00,156.06033325195312,158.88845901679068,155.8829896821819,158.58044348647883,4617500,0.0,0.0,0.0,161.82109985351562,163.29676971435546,,-0.03313458882385922,-0.03369597503958459,0.012719704976711516
2020-10-29 00:00:00-04:00,157.5350341796875,159.11244023666245,155.4069402809794,156.340315297682,3101000,0.0,0.0,0.0,160.42476806640624,163.15909652709962,,0.009449556444003804,0.009405188670367347,0.012764298953213685
